"location_id","type","name","status"
5109,"SECTOR","Musha","ACTIVE"
5110,"SECTOR","Muyumbu","ACTIVE"
5111,"SECTOR","Mwulire","ACTIVE"
5112,"SECTOR","Nyakaliro","ACTIVE"
5113,"SECTOR","Nzige","ACTIVE"
5114,"SECTOR","Rubona","ACTIVE"
5201,"SECTOR","Gatunda","ACTIVE"
5202,"SECTOR","Karama","ACTIVE"
5203,"SECTOR","Karangazi","ACTIVE"
5204,"SECTOR","Katabagemu","ACTIVE"
5205,"SECTOR","Kiyombe","ACTIVE"
5206,"SECTOR","Matimba","ACTIVE"
5207,"SECTOR","Mimuri","ACTIVE"
5208,"SECTOR","Mukama","ACTIVE"
5209,"SECTOR","Musheri","ACTIVE"
5210,"SECTOR","Nyagatare","ACTIVE"
5211,"SECTOR","Rukomo","ACTIVE"
5212,"SECTOR","Rwempasha","ACTIVE"
5213,"SECTOR","Rwimiyaga","ACTIVE"
5214,"SECTOR","Tabagwe","ACTIVE"
5301,"SECTOR","Gasange","ACTIVE"
5302,"SECTOR","Gatsibo","ACTIVE"
5303,"SECTOR","Gitoki","ACTIVE"
5304,"SECTOR","Kabarore","ACTIVE"
5305,"SECTOR","Kageyo","ACTIVE"
5306,"SECTOR","Kiramuruzi","ACTIVE"
5307,"SECTOR","Kiziguro","ACTIVE"
5308,"SECTOR","Muhura","ACTIVE"
5309,"SECTOR","Murambi","ACTIVE"
5310,"SECTOR","Ngarama","ACTIVE"
5311,"SECTOR","Nyagihanga","ACTIVE"
5312,"SECTOR","Remera","ACTIVE"
5313,"SECTOR","Rugarama","ACTIVE"
5314,"SECTOR","Rwimbogo","ACTIVE"
5401,"SECTOR","Gahini","ACTIVE"
5402,"SECTOR","Kabare","ACTIVE"
5403,"SECTOR","Kabarondo","ACTIVE"
5404,"SECTOR","Mukarange","ACTIVE"
5405,"SECTOR","Murama","ACTIVE"
5406,"SECTOR","Murundi","ACTIVE"
5407,"SECTOR","Mwiri","ACTIVE"
5408,"SECTOR","Ndego","ACTIVE"
5409,"SECTOR","Nyamirama","ACTIVE"
5410,"SECTOR","Rukara","ACTIVE"
5411,"SECTOR","Ruramira","ACTIVE"
5412,"SECTOR","Rwinkwavu","ACTIVE"
5501,"SECTOR","Gahara","ACTIVE"
5502,"SECTOR","Gatore","ACTIVE"
5503,"SECTOR","Kigarama","ACTIVE"
5504,"SECTOR","Kigina","ACTIVE"
5505,"SECTOR","Kirehe","ACTIVE"
5506,"SECTOR","Mahama","ACTIVE"
5507,"SECTOR","Mpanga","ACTIVE"
5508,"SECTOR","Musaza","ACTIVE"
5509,"SECTOR","Mushikiri","ACTIVE"
5510,"SECTOR","Nasho","ACTIVE"
5511,"SECTOR","Nyamugari","ACTIVE"
5512,"SECTOR","Nyarubuye","ACTIVE"
5601,"SECTOR","Gashanda","ACTIVE"
5602,"SECTOR","Jarama","ACTIVE"
5603,"SECTOR","Karembo","ACTIVE"
5604,"SECTOR","Kazo","ACTIVE"
5605,"SECTOR","Kibungo","ACTIVE"
5606,"SECTOR","Mugesera","ACTIVE"
5607,"SECTOR","Murama","ACTIVE"
5608,"SECTOR","Mutenderi","ACTIVE"
5609,"SECTOR","Remera","ACTIVE"
5610,"SECTOR","Rukira","ACTIVE"
5611,"SECTOR","Rukumberi","ACTIVE"
5612,"SECTOR","Rurenge","ACTIVE"
5613,"SECTOR","Sake","ACTIVE"
5614,"SECTOR","Zaza","ACTIVE"
5701,"SECTOR","Gashora","ACTIVE"
5702,"SECTOR","Juru","ACTIVE"
5703,"SECTOR","Kamabuye","ACTIVE"
5704,"SECTOR","Mareba","ACTIVE"
5705,"SECTOR","Mayange","ACTIVE"
5706,"SECTOR","Musenyi","ACTIVE"
5707,"SECTOR","Mwogo","ACTIVE"
5708,"SECTOR","Ngeruka","ACTIVE"
5709,"SECTOR","Ntarama","ACTIVE"
5710,"SECTOR","Nyamata","ACTIVE"
5711,"SECTOR","Nyarugenge","ACTIVE"
5712,"SECTOR","Rilima","ACTIVE"
5713,"SECTOR","Ruhuha","ACTIVE"
5714,"SECTOR","Rweru","ACTIVE"
5715,"SECTOR","Shyara","ACTIVE"
110101,"CELL","Akabahizi","ACTIVE"
110102,"CELL","Akabeza","ACTIVE"
110103,"CELL","Gacyamo","ACTIVE"
110104,"CELL","Kigarama","ACTIVE"
110105,"CELL","Kinyange","ACTIVE"
110106,"CELL","Kora","ACTIVE"
110201,"CELL","Nyamweru","ACTIVE"
110202,"CELL","Nzove","ACTIVE"
110203,"CELL","Taba","ACTIVE"
110301,"CELL","Kigali","ACTIVE"
110302,"CELL","Mwendo","ACTIVE"
110303,"CELL","Nyabugogo","ACTIVE"
110304,"CELL","Ruliba","ACTIVE"
110305,"CELL","Rwesero","ACTIVE"
110401,"CELL","Kamuhoza","ACTIVE"
110402,"CELL","Katabaro","ACTIVE"
110403,"CELL","Kimisagara","ACTIVE"
110501,"CELL","Kankuba","ACTIVE"
110502,"CELL","Kavumu","ACTIVE"
110503,"CELL","Mataba","ACTIVE"
110504,"CELL","Ntungamo","ACTIVE"
110505,"CELL","Nyarufunzo","ACTIVE"
110506,"CELL","Nyarurenzi","ACTIVE"
110507,"CELL","Runzenze","ACTIVE"
110601,"CELL","Amahoro","ACTIVE"
110602,"CELL","Kabasengerezi","ACTIVE"
110603,"CELL","Kabeza","ACTIVE"
110604,"CELL","Nyabugogo","ACTIVE"
110605,"CELL","Rugenge","ACTIVE"
110606,"CELL","Tetero","ACTIVE"
110607,"CELL","Ubumwe","ACTIVE"
110701,"CELL","Munanira I","ACTIVE"
110702,"CELL","Munanira II","ACTIVE"
110703,"CELL","Nyakabanda I","ACTIVE"
110704,"CELL","Nyakabanda II","ACTIVE"
110801,"CELL","Cyivugiza","ACTIVE"
110802,"CELL","Gasharu","ACTIVE"
110803,"CELL","Mumena","ACTIVE"
110804,"CELL","Rugarama","ACTIVE"
110901,"CELL","Agatare","ACTIVE"
110902,"CELL","Biryogo","ACTIVE"
110903,"CELL","Kiyovu","ACTIVE"
110904,"CELL","Rwampara","ACTIVE"
111001,"CELL","Kabuguru I","ACTIVE"
111002,"CELL","Kabuguru II","ACTIVE"
111003,"CELL","Rwezamenyo I","ACTIVE"
111004,"CELL","Rwezamenyo II","ACTIVE"
120101,"CELL","Kinyaga","ACTIVE"
120102,"CELL","Musave","ACTIVE"
120103,"CELL","Mvuzo","ACTIVE"
120104,"CELL","Ngara","ACTIVE"
120105,"CELL","Nkuzuzu","ACTIVE"
120106,"CELL","Nyabikenke","ACTIVE"
120107,"CELL","Nyagasozi","ACTIVE"
120201,"CELL","Karuruma","ACTIVE"
120202,"CELL","Nyamabuye","ACTIVE"
120203,"CELL","Nyamugari","ACTIVE"
120301,"CELL","Gasagara","ACTIVE"
120302,"CELL","Gicaca","ACTIVE"
120303,"CELL","Kibara","ACTIVE"
120304,"CELL","Munini","ACTIVE"
120305,"CELL","Murambi","ACTIVE"
120401,"CELL","Musezero","ACTIVE"
120402,"CELL","Ruhango","ACTIVE"
120501,"CELL","Akamatamu","ACTIVE"
120502,"CELL","Bweramvura","ACTIVE"
120503,"CELL","Kabuye","ACTIVE"
120504,"CELL","Kidashya","ACTIVE"
120505,"CELL","Ngiryi","ACTIVE"
120601,"CELL","Agateko","ACTIVE"
120602,"CELL","Buhiza","ACTIVE"
120603,"CELL","Muko","ACTIVE"
120604,"CELL","Nkusi","ACTIVE"
120605,"CELL","Nyabuliba","ACTIVE"
120606,"CELL","Nyakabungo","ACTIVE"
120607,"CELL","Nyamitanga","ACTIVE"
120701,"CELL","Kamatamu","ACTIVE"
120702,"CELL","Kamutwa","ACTIVE"
120703,"CELL","Kibaza","ACTIVE"
120801,"CELL","Kamukina","ACTIVE"
120802,"CELL","Kimihurura","ACTIVE"
120803,"CELL","Rugando","ACTIVE"
120901,"CELL","Bibare","ACTIVE"
120902,"CELL","Kibagabaga","ACTIVE"
120903,"CELL","Nyagatovu","ACTIVE"
121001,"CELL","Gacuriro","ACTIVE"
121002,"CELL","Gasharu","ACTIVE"
121003,"CELL","Kagugu","ACTIVE"
121004,"CELL","Murama","ACTIVE"
